,gemma2-9b-it,llama-3.3-70b-versatile,mixtral-8x7b-32768,gpt-4o,gpt-4o-mini
mean_bleu,0.04193970795652704,0.2572799217145534,0.08021786121521587,0.2536365061047288,0.26510569488635827
std_bleu,0.09274545856096299,0.18075252993712854,0.09244800445275593,0.1784806795014829,0.19209632483704853
ci_bleu,0.017573442120894466,0.03424905297079801,0.017517080411811287,0.033818581950894586,0.036398479219782544
mean_gleu,0.060237363866292325,0.32240139065514734,0.11445909454445619,0.3174051186716678,0.32748519214086197
std_gleu,0.10728720331639635,0.1510416553911116,0.0904590950464276,0.15015242914602095,0.16160374234698935
ci_gleu,0.02032881703370977,0.02861942600795986,0.017140221157696554,0.028450935106163203,0.030620733960661024
mean_rouge,0.15512948294828435,0.5243811219100625,0.2602361988668771,0.5155029927217344,0.5320633778449129
std_rouge,0.22601379126559948,0.1683307561741686,0.1293379989239791,0.15401118754295082,0.1675437309893658
ci_rouge,0.042825172692624994,0.03189537090755461,0.02450700954407203,0.029182094004929,0.03174624509862105
mean_meteor,0.08817886924635428,0.4644074582250267,0.3311697636181596,0.49445042380468157,0.49783004189527547
std_meteor,0.1701530104677003,0.18176061578522404,0.12748070046458979,0.18643522900605217,0.1900882253726931
ci_meteor,0.03224065229225854,0.034440065431993114,0.024155087978491006,0.035325812789852085,0.03601798382672075
